Date,Discount,Protein Powder Price
2024-09-25,25,58.0
2024-09-26,25,58.0
2024-09-27,50,58.0
2024-09-28,50,58.0
2024-09-30,50,58.0
2024-10-01,40,58.0
2024-10-02,50,58.0
2024-10-03,40,184.0
2024-10-04,50,184.0
2024-10-05,50,184.0
2024-10-06,50,184.0
2024-10-08,10,184.0
2024-10-10,10,184.0
2024-10-11,10,184.0
2024-10-12,25,184.0
2024-10-15,25,446.0
2024-10-16,40,446.0
2024-10-17,40,446.0
2024-10-18,40,446.0
2024-10-19,40,446.0
2024-10-20,40,446.0
2024-10-22,50,446.0
2024-10-23,50,446.0
2024-10-24,50,446.0
2024-10-25,25,446.0
2024-10-26,25,446.0
2024-10-29,25,446.0
2024-10-31,25,446.0
2024-11-02,25,446.0
2024-11-04,25,446.0
2024-11-05,25,446.0
2024-11-06,25,446.0
2024-11-07,25,446.0
2024-11-08,25,446.0
2024-11-09,25,446.0
2024-11-10,25,446.0
2024-11-12,55,446.0
2024-11-13,55,446.0
2024-11-14,25,446.0
2024-11-15,25,446.0
2024-11-16,25,446.0
2024-11-19,40,446.0
2024-11-20,40,446.0
2024-11-21,40,446.0
2024-11-22,40,446.0
2024-11-23,50,446.0
2024-11-24,50,446.0
2024-11-25,50,446.0
2024-11-26,50,446.0
2024-11-28,50,446.0
2024-11-29,55,446.0
2024-11-30,55,446.0
2024-12-01,55,446.0
2024-12-03,25,446.0
2024-12-04,25,446.0
2024-12-05,40,446.0
2024-12-06,40,446.0
2024-12-08,40,446.0
2024-12-09,40,446.0
2024-12-11,50,446.0
2024-12-13,50,446.0
2024-12-15,50,446.0
2024-12-16,25,446.0
2024-12-26,50,446.0
2024-12-27,50,446.0
2024-12-28,55,446.0
2024-12-31,55,446.0
2025-01-03,55,446.0
2025-01-04,25,446.0
2025-01-07,25,446.0
2025-01-08,25,446.0
2025-01-09,25,446.0
2025-01-10,25,446.0
2025-01-12,25,446.0
2025-01-15,25,58.0
2025-01-17,40,446.0
2025-01-18,40,446.0
2025-01-20,40,446.0
2025-01-22,40,446.0
2025-01-23,40,446.0
2025-01-25,50,446.0
2025-01-26,50,446.0
2025-01-27,50,446.0
2025-01-28,30,446.0
2025-01-31,50,446.0
2025-02-02,30,446.0
2025-02-03,30,446.0
2025-02-06,30,446.0
2025-02-07,30,446.0
2025-02-08,30,446.0
2025-02-09,30,446.0
2025-02-10,30,446.0
2025-02-11,40,446.0
2025-02-13,40,446.0
2025-02-14,40,446.0
2025-02-16,50,446.0
2025-02-17,50,446.0
2025-02-18,25,446.0
2025-02-19,25,446.0
2025-02-26,25,446.0
2025-03-04,35,446.0
2025-03-07,35,446.0
2025-03-12,30,446.0
2025-03-14,50,58.0
2025-03-15,50,58.0
2025-03-16,50,58.0
2025-03-18,30,58.0
2025-03-24,40,0.0
2025-03-28,40,0.0
2025-03-30,40,0.0
2025-04-02,30,0.0
2025-04-03,30,0.0
2025-04-08,30,0.0
2025-04-09,30,0.0
2025-04-10,30,0.0
2025-04-11,50,0.0
2025-04-13,50,0.0
2025-04-14,50,0.0
2025-04-15,50,0.0
2025-04-16,50,0.0
2025-04-17,50,0.0
2025-04-18,50,0.0
2025-04-19,50,0.0
2025-04-20,50,0.0
2025-04-21,50,0.0
2025-04-23,30,0.0
2025-04-25,30,0.0
2025-04-26,30,0.0
2025-04-28,30,0.0
2025-04-30,30,0.0
2025-05-01,50,0.0
2025-05-02,50,0.0
2025-05-03,30,0.0
2025-05-04,30,0.0
2025-05-05,30,0.0
2025-05-06,30,0.0
2025-05-07,30,0.0
2025-05-08,30,0.0
2025-05-11,15,0.0
2025-05-13,15,0.0
2025-05-15,40,0.0
2025-05-17,40,0.0
2025-05-22,50,0.0
2025-05-24,50,0.0
2025-05-27,50,0.0
2025-05-28,55,0.0
2025-05-29,55,0.0
2025-05-31,55,0.0
2025-06-02,10,0.0
2025-06-04,50,0.0
2025-06-06,30,0.0
2025-06-07,30,0.0
2025-06-10,30,0.0
2025-06-13,50,0.0
2025-06-15,30,0.0
2025-06-16,30,0.0
2025-06-21,30,0.0
2025-06-22,30,0.0
2025-06-23,30,0.0
2025-06-25,30,0.0
2025-06-26,30,0.0
2025-06-29,30,0.0
2025-07-01,30,0.0
2025-07-03,30,0.0
2025-07-04,30,0.0
2025-07-09,40,0.0
2025-07-10,40,0.0
2025-07-14,40,0.0
2025-07-16,30,0.0
2025-07-17,30,0.0
2025-07-20,30,0.0
2025-07-21,30,0.0
2025-07-23,30,0.0
2025-07-29,50,0.0
2025-08-02,50,0.0
2025-08-03,50,0.0
2025-08-08,30,0.0
2025-08-09,30,0.0
2025-08-13,30,0.0
2025-08-16,50,0.0
2025-08-17,50,0.0
2025-08-18,50,0.0
2025-08-19,30,0.0
2025-08-25,30,0.0
2025-08-27,30,0.0
2025-08-28,30,0.0
2025-08-29,30,0.0
2025-09-03,40,0.0
2025-09-10,10,0.0
2025-09-11,10,0.0
2025-09-12,50,0.0
2025-09-15,50,0.0
2025-09-18,30,0.0
2025-09-19,30,0.0
2025-09-22,30,0.0
2025-09-23,30,0.0
2025-10-02,40,0.0
2025-10-13,30,0.0
2025-10-14,30,0.0
2025-10-17,30,0.0
2025-10-18,30,0.0
2025-10-21,50,0.0
2025-10-22,50,0.0
2025-10-24,30,0.0
2025-10-25,30,0.0
2025-10-31,30,0.0
2025-11-01,30,0.0
2025-11-02,30,0.0
2025-11-03,30,0.0
2025-11-06,30,0.0
2025-11-07,30,0.0
2025-11-09,30,0.0
2025-11-11,55,0.0
